ID,CONFIDENCE,NUMBER,VOTE
357,1.0,yes (1 - 0),yes (63 - 0)
358,1.0,yes (1 - 0),yes (4 - 0)
359,-1.0,no (0 - 1),no (0 - 3)
360,1.0,yes (2 - 0),yes (7 - 0)
361,-1.0,no (0 - 1),no (0 - 4)
362,1.0,yes (2 - 0),yes (7 - 0)
363,-1.0,no (0 - 1),no (0 - 3)
364,1.0,yes (1 - 0),yes (4 - 0)
365,1.0,yes (1 - 0),yes (2 - 0)
366,-1.0,no (0 - 1),no (0 - 63)
367,-1.0,no (0 - 1),no (0 - 63)
368,1.0,yes (1 - 0),yes (63 - 0)
369,-1.0,no (0 - 1),no (0 - 4)
370,1.0,yes (1 - 0),yes (2 - 0)
371,1.0,yes (1 - 0),yes (1 - 0)
372,1.0,yes (1 - 0),yes (1 - 0)
373,1.0,yes (1 - 0),yes (1 - 0)
374,-1.0,no (0 - 1),no (0 - 1)
375,-1.0,no (0 - 1),no (0 - 1)
376,-1.0,no (0 - 1),no (0 - 1)
377,1.0,yes (2 - 0),yes (3 - 0)
378,1.0,yes (1 - 0),yes (1 - 0)
379,1.0,yes (1 - 0),yes (1 - 0)
380,-1.0,no (0 - 1),no (0 - 3)
381,-1.0,no (0 - 1),no (0 - 1)
382,1.0,yes (1 - 0),yes (1 - 0)
383,-1.0,no (0 - 1),no (0 - 2)
384,1.0,yes (1 - 0),yes (1 - 0)
385,1.0,yes (1 - 0),yes (3 - 0)
386,1.0,yes (1 - 0),yes (1 - 0)
387,1.0,yes (1 - 0),yes (1 - 0)
388,1.0,yes (1 - 0),yes (1 - 0)
389,1.0,yes (2 - 0),yes (3 - 0)
390,1.0,yes (1 - 0),yes (2 - 0)
391,1.0,yes (1 - 0),yes (1 - 0)
392,1.0,yes (1 - 0),yes (1 - 0)
393,0.6363636363636364,yes (3 - 1),yes (9 - 2)
394,1.0,yes (1 - 0),yes (1 - 0)
395,-1.0,no (0 - 1),no (0 - 63)
396,-1.0,no (0 - 1),no (0 - 63)
397,1.0,yes (1 - 0),yes (63 - 0)
398,1.0,yes (1 - 0),yes (63 - 0)
399,1.0,yes (1 - 0),yes (63 - 0)
400,-1.0,no (0 - 1),no (0 - 63)
401,1.0,yes (1 - 0),yes (63 - 0)
402,1.0,yes (1 - 0),yes (1 - 0)
403,1.0,yes (1 - 0),yes (1 - 0)
404,1.0,yes (1 - 0),yes (1 - 0)
405,1.0,yes (1 - 0),yes (63 - 0)
406,1.0,yes (1 - 0),yes (63 - 0)
